date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:37	3592/3592	---MCZ	200	added ('OK')	text/css	etag:W/%225d97bf81-e08%22	http://baha.malyarchuk.space/css/settings/sea-color.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/settings/sea-color.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:37	3592/3592	---MCZ	200	added ('OK')	text/css	etag:W/%225d97bfa1-e08%22	http://baha.malyarchuk.space/css/settings/yellow-color.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/settings/yellow-color.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:37	1996/1996	---M--	200	added ('OK')	image/png	etag:%225cabad68-7cc%22	http://baha.malyarchuk.space/img/logo.png	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/logo.png	(from http://baha.malyarchuk.space/index-line.html)
04:08:41	21458/21458	---M--	200	added ('OK')	image/jpeg	etag:%225c59de97-53d2%22	http://baha.malyarchuk.space/img/testimonials/testimonial-1.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/testimonials/testimonial-1.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:08:41	19595/19595	---M--	200	added ('OK')	image/jpeg	etag:%225c59dea7-4c8b%22	http://baha.malyarchuk.space/img/testimonials/testimonial-2.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/testimonials/testimonial-2.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:08:45	18156/18156	---M--	200	added ('OK')	image/jpeg	etag:%225c68305e-46ec%22	http://baha.malyarchuk.space/img/testimonials/testimonial-3.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/testimonials/testimonial-3.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:08:51	55522/55522	---M--	200	added ('OK')	image/jpeg	etag:%225bfffb08-d8e2%22	http://baha.malyarchuk.space/img/portfolio/img-1.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-1.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:08:54	57405/57405	---M--	200	added ('OK')	image/jpeg	etag:%225bfffb02-e03d%22	http://baha.malyarchuk.space/img/portfolio/img-2.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-2.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:08:56	120099/120099	---M--	200	added ('OK')	image/jpeg	etag:%225ccb46ff-1d523%22	http://baha.malyarchuk.space/img/user-photo.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/user-photo.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:01	69913/69913	---M--	200	added ('OK')	image/jpeg	etag:%225bfffb06-11119%22	http://baha.malyarchuk.space/img/portfolio/img-3.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-3.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:07	118443/118443	---M--	200	added ('OK')	image/jpeg	etag:%225c69b887-1ceab%22	http://baha.malyarchuk.space/img/portfolio/img-4.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-4.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:14	28451/28451	---M--	200	added ('OK')	image/jpeg	etag:%225bfffd5e-6f23%22	http://baha.malyarchuk.space/img/portfolio/img-6.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-6.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:18	71593/71593	---M--	200	added ('OK')	image/jpeg	etag:%225bfffb3c-117a9%22	http://baha.malyarchuk.space/img/portfolio/img-5.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-5.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:21	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%225cc883d4-6090f%22	http://baha.malyarchuk.space/img/home-bg.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/home-bg.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:23	11401/11401	---MCZ	200	added ('OK')	text/html	etag:W/%225d9b474a-2c89%22	http://baha.malyarchuk.space/single-blog.html	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/single-blog.html	(from http://baha.malyarchuk.space/index-line.html)
04:09:27	51147/51147	---M--	200	added ('OK')	image/jpeg	etag:%225bfffeae-c7cb%22	http://baha.malyarchuk.space/img/portfolio/img-9.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-9.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:27	84848/84848	---M--	200	added ('OK')	image/jpeg	etag:%225bfffc2e-14b70%22	http://baha.malyarchuk.space/img/portfolio/img-8.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/portfolio/img-8.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:35	47663/47663	---M--	200	added ('OK')	image/jpeg	etag:%225cd94be2-ba2f%22	http://baha.malyarchuk.space/img/blog/img-2.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/img-2.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:38	65194/65194	---M--	200	added ('OK')	image/jpeg	etag:%225cd94bec-feaa%22	http://baha.malyarchuk.space/img/blog/img-3.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/img-3.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:46	44892/44892	---M--	200	added ('OK')	image/jpeg	etag:%225cd94be5-af5c%22	http://baha.malyarchuk.space/img/blog/img-5.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/img-5.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:09:54	49797/49797	---M--	200	added ('OK')	image/jpeg	etag:%225cd94be7-c285%22	http://baha.malyarchuk.space/img/blog/img-6.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/img-6.jpg	(from http://baha.malyarchuk.space/index-line.html)
04:10:01	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5d879d-1538e%22	http://baha.malyarchuk.space/js/jquery.min.js	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/js/jquery.min.js	(from http://baha.malyarchuk.space/index-line.html)
